Seed,TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,MLP TPR
2026,dttl,2,Generic,18871,0.9884478829950718,0.39377881405330933
2026,dttl,2,Reconnaissance,3496,0.3641304347826087,0.3824370709382151
2026,dttl,2,Shellcode,378,0.3941798941798942,0.4021164021164021
2026,dttl,2,Worms,44,0.4772727272727273,0.38636363636363635
2026,dttl,5,Analysis,677,0.7858197932053176,0.7769571639586411
2026,dttl,5,Backdoor,583,0.9193825042881647,0.9005145797598628
2026,dttl,5,DoS,4089,0.3763756419662509,0.34678405478112007
2026,dttl,5,Exploits,11132,0.5514732303269853,0.4626302551203737
2026,dttl,5,Fuzzers,6062,0.5983173870009898,0.4712966017815902
2026,dttl,5,Generic,18871,0.9884478829950718,0.39377881405330933
2026,dttl,5,Reconnaissance,3496,0.3641304347826087,0.3824370709382151
2026,dttl,5,Shellcode,378,0.3941798941798942,0.4021164021164021
2026,dttl,5,Worms,44,0.4772727272727273,0.38636363636363635
2026,dttl,10,Analysis,677,0.7858197932053176,0.7769571639586411
2026,dttl,10,Backdoor,583,0.9193825042881647,0.9005145797598628
2026,dttl,10,DoS,4089,0.3763756419662509,0.34678405478112007
2026,dttl,10,Exploits,11132,0.5514732303269853,0.4626302551203737
2026,dttl,10,Fuzzers,6062,0.5983173870009898,0.4712966017815902
2026,dttl,10,Generic,18871,0.9884478829950718,0.39377881405330933
2026,dttl,10,Reconnaissance,3496,0.3641304347826087,0.3824370709382151
2026,dttl,10,Shellcode,378,0.3941798941798942,0.4021164021164021
2026,dttl,10,Worms,44,0.4772727272727273,0.38636363636363635
2026,dttl,15,Analysis,677,0.7858197932053176,0.7769571639586411
2026,dttl,15,Backdoor,583,0.9193825042881647,0.9005145797598628
2026,dttl,15,DoS,4089,0.3763756419662509,0.34678405478112007
2026,dttl,15,Exploits,11132,0.5514732303269853,0.4626302551203737
2026,dttl,15,Fuzzers,6062,0.5983173870009898,0.4712966017815902
2026,dttl,15,Generic,18871,0.9884478829950718,0.3938318054157172
2026,dttl,15,Reconnaissance,3496,0.3641304347826087,0.3824370709382151
2026,dttl,15,Shellcode,378,0.3941798941798942,0.4021164021164021
2026,dttl,15,Worms,44,0.4772727272727273,0.38636363636363635
7,sttl,-15,Analysis,677,0.7562776957163959,0.9689807976366323
7,sttl,-15,Backdoor,583,0.8782161234991424,0.9554030874785592
7,sttl,-15,DoS,4089,0.25434091464905845,0.8334556126192223
7,sttl,-15,Exploits,11132,0.3776500179662235,0.6812791951131872
7,sttl,-15,Fuzzers,6062,0.5851204223028703,0.31111844275816564
7,sttl,-15,Generic,18871,0.9823538763181602,0.44761803825976365
7,sttl,-15,Reconnaissance,3496,0.3469679633867277,0.47110983981693366
7,sttl,-15,Shellcode,378,0.3941798941798942,0.4470899470899471
7,sttl,-15,Worms,44,0.38636363636363635,0.4318181818181818
7,sttl,-10,Analysis,677,0.7562776957163959,0.9689807976366323
7,sttl,-10,Backdoor,583,0.8782161234991424,0.9588336192109777
7,sttl,-10,DoS,4089,0.25434091464905845,0.8366348740523355
