Seed,TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,MLP TPR,RF Clean TPR,MLP Clean TPR,RF TPR Drop,MLP TPR Drop
42,sttl,15,Analysis,677,0.7769571639586411,0.9926144756277696,0.7769571639586411,0.9926144756277696,0.0,0.0
42,sttl,15,Backdoor,583,0.902229845626072,0.9656946826758147,0.902229845626072,0.9656946826758147,0.0,0.0
42,sttl,15,DoS,4089,0.27879677182685253,0.8275862068965517,0.27879677182685253,0.8256297383223282,0.0,0.001956468574223491
42,sttl,15,Exploits,11132,0.41699604743083,0.6497484728710026,0.41699604743083,0.647502694933525,0.0,0.0022457779374776
42,sttl,15,Fuzzers,6062,0.593038601121742,0.5021445067634444,0.592708677004289,0.49934015176509405,0.00032992411745302874,0.0028043549983503002
42,sttl,15,Generic,18871,0.9771607228021832,0.6657304859307933,0.9771607228021832,0.6614381855757512,0.0,0.0042923003550421335
42,sttl,15,Reconnaissance,3496,0.3504004576659039,0.5334668192219679,0.3504004576659039,0.5334668192219679,0.0,0.0
42,sttl,15,Shellcode,378,0.3941798941798942,0.5132275132275133,0.3941798941798942,0.5105820105820106,0.0,0.002645502645502673
42,sttl,15,Worms,44,0.38636363636363635,0.4772727272727273,0.38636363636363635,0.4772727272727273,0.0,0.0
42,dttl,-15,Analysis,677,0.7769571639586411,0.9571639586410635,0.7769571639586411,0.9926144756277696,0.0,-0.03545051698670609
42,dttl,-15,Backdoor,583,0.902229845626072,0.9519725557461407,0.902229845626072,0.9656946826758147,0.0,-0.013722126929674006
42,dttl,-15,DoS,4089,0.27879677182685253,0.7999510882856444,0.27879677182685253,0.8256297383223282,0.0,-0.025678650036683792
42,dttl,-15,Exploits,11132,0.41699604743083,0.5847107438016529,0.41699604743083,0.647502694933525,0.0,-0.06279195113187208
42,dttl,-15,Fuzzers,6062,0.592708677004289,0.3840316727152755,0.592708677004289,0.49934015176509405,0.0,-0.11530847904981856
42,dttl,-15,Generic,18871,0.9771607228021832,0.6641937364209634,0.9771607228021832,0.6614381855757512,0.0,0.0027555508452121735
42,dttl,-15,Reconnaissance,3496,0.3504004576659039,0.44336384439359267,0.3504004576659039,0.5334668192219679,0.0,-0.09010297482837526
42,dttl,-15,Shellcode,378,0.3941798941798942,0.3968253968253968,0.3941798941798942,0.5105820105820106,0.0,-0.11375661375661378
42,dttl,-15,Worms,44,0.38636363636363635,0.38636363636363635,0.38636363636363635,0.4772727272727273,0.0,-0.09090909090909094
42,dttl,-10,Analysis,677,0.7769571639586411,0.9807976366322009,0.7769571639586411,0.9926144756277696,0.0,-0.011816838995568735
42,dttl,-10,Backdoor,583,0.902229845626072,0.9605488850771869,0.902229845626072,0.9656946826758147,0.0,-0.005145797598627766
42,dttl,-10,DoS,4089,0.27879677182685253,0.8094888725849841,0.27879677182685253,0.8256297383223282,0.0,-0.01614086573734408
42,dttl,-10,Exploits,11132,0.41699604743083,0.6086956521739131,0.41699604743083,0.647502694933525,0.0,-0.03880704275961189
42,dttl,-10,Fuzzers,6062,0.592708677004289,0.4254371494556252,0.592708677004289,0.49934015176509405,0.0,-0.07390300230946883
42,dttl,-10,Generic,18871,0.9771607228021832,0.6661014254676487,0.9771607228021832,0.6614381855757512,0.0,0.0046632398918975415
42,dttl,-10,Reconnaissance,3496,0.3504004576659039,0.4834096109839817,0.3504004576659039,0.5334668192219679,0.0,-0.050057208237986206
42,dttl,-10,Shellcode,378,0.3941798941798942,0.455026455026455,0.3941798941798942,0.5105820105820106,0.0,-0.05555555555555558
42,dttl,-10,Worms,44,0.38636363636363635,0.38636363636363635,0.38636363636363635,0.4772727272727273,0.0,-0.09090909090909094
